date_time,temperature
2020-04-29 00:00:36.206122,22.687,22.687
2020-04-29 00:01:38.927023,22.687,22.687
2020-04-29 00:02:40.762682,22.75,22.75
2020-04-29 00:03:42.602698,22.75,22.75
2020-04-29 00:04:44.445006,22.75,22.75
2020-04-29 00:05:46.282643,22.75,22.75
2020-04-29 00:06:48.202672,22.75,22.75
2020-04-29 00:07:50.042695,22.812,22.812
2020-04-29 00:08:51.970221,22.812,22.812
2020-04-29 00:09:53.802661,22.812,22.812
2020-04-29 00:10:55.643506,22.812,22.812
2020-04-29 00:11:57.482677,22.812,22.812
2020-04-29 00:13:00.202969,22.875,22.875
2020-04-29 00:14:02.928429,22.875,22.875
2020-04-29 00:15:04.762711,22.875,22.875
2020-04-29 00:16:06.601813,22.875,22.875
2020-04-29 00:17:10.205236,22.875,22.875
2020-04-29 00:18:12.041843,22.937,22.937
2020-04-29 00:19:13.882646,22.937,22.937
2020-04-29 00:20:18.366209,22.937,22.937
2020-04-29 00:21:20.202676,22.937,22.937
2020-04-29 00:22:22.042719,22.937,22.937
2020-04-29 00:23:23.885163,23.0,23.0
2020-04-29 00:24:25.725117,23.0,23.0
2020-04-29 00:25:27.564809,23.0,23.0
2020-04-29 00:26:29.402675,23.0,23.0
2020-04-29 00:27:31.249088,23.0,23.0
2020-04-29 00:28:33.082650,23.062,23.062
2020-04-29 00:29:35.802686,23.062,23.062
2020-04-29 00:30:37.658331,23.062,23.062
2020-04-29 00:31:39.483109,23.062,23.062
2020-04-29 00:32:42.202684,23.062,23.062
2020-04-29 00:33:44.922676,23.125,23.125
2020-04-29 00:34:46.762729,23.125,23.125
2020-04-29 00:35:48.602787,23.125,23.125
2020-04-29 00:36:50.445256,23.125,23.125
2020-04-29 00:37:53.162684,23.125,23.125
2020-04-29 00:38:56.762658,23.187,23.187
2020-04-29 00:39:58.602721,23.187,23.187
2020-04-29 00:41:00.441834,23.187,23.187
2020-04-29 00:42:02.291109,23.187,23.187
2020-04-29 00:43:05.004964,23.187,23.187
2020-04-29 00:44:06.842716,23.187,23.187
2020-04-29 00:45:08.682679,23.25,23.25
2020-04-29 00:46:10.522642,23.25,23.25
2020-04-29 00:47:12.362710,23.25,23.25
2020-04-29 00:48:14.202685,23.25,23.25
2020-04-29 00:49:16.045100,23.25,23.25
